FamilyName1,FamilyName2,CommonName,AlsoKnownAs,ScientificName,MinSize,MaxSize,AdditionalSizeInfo,PossessionLimit,AdditionalPossessionInfo,SpeciesLimit,SpeciesName,GroupLimit,GroupName,ClosedSeasonDate,AdditionalClosedSeasonInfo,MisIdentified,,Description,AverageGrowth,MaximumGrowth,Distribution,AdditionalInformation,Image1,Caption1,Image2,Caption2,Image3,Caption3
Australian bass,N/A,Australian bass,Bass,Macquaria novemaculeata,30,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,"1 June to 31 August

",applies throughout Queensland tidal waters,"Silver perch
Estuary perch",,N/A,40,65,"found in south east Queensland - north to the Burnett River system
freshwater species
occassionally enters estuaries during spawning season in winter or peak flood periods
often stocked in impoundments",N/A,http://app.fisheries.qld.gov.au/images/australian-bass.jpg,N/A,N/A,N/A,N/A,N/A
Australian smelt,N/A,Australian smelt,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/australian-smelt.jpg,N/A,N/A,N/A,N/A,N/A
Barracuda,N/A,Great barracuda,Giant sea-pike,Sphyraena barracuda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,other barracuda,,"silver to blue body with many oblique dark bars on upper half of body (not across lateral line) 
head is flat or concave
formidable teeth
black blotches on the belly present occasionally 
caudal fin is black with white tips 
the sides of juveniles have a series of large dark blotches irregularly arranged",100,170,"all Queensland waters
open sea and close to the reef
juveniles found inshore, mainly in estuaries or mangrove swamps
",N/A,http://app.fisheries.qld.gov.au/images/great-barracuda.jpg,N/A,N/A,N/A,N/A,N/A
Barracuda,N/A,Striped barracuda,"Yellow-fin pike
Striped sea pike
Yellowtail
Obtuse barracuda",Sphyraena obtusata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Blackfin barracuda
Yellowtail barracuda",,"brownish silver back
silver belly
faint yellowish mid lateral band on body (in very fresh specimens)
yellow caudal fin",30,35,"along the Queensland coast
bays and estuaries",N/A,http://app.fisheries.qld.gov.au/images/striped-barracuda.jpg,N/A,N/A,N/A,N/A,N/A
Barramundi,N/A,Barramundi,Giant perch,Lates calcarifer,58,120,1 greater than 120cm from some dams,5,1 during closed season at some dams,N/A,N/A,N/A,N/A,"Queensland east coast: midday 1 November to midday 1 February

Gulf of Carpentaria: midday 7 October to midday 1 February (but possession on boats allowed to midday 17 October)","(does not apply in and from waterways upstream of Awoonga, Burdekin Falls, Callide, Eungella, Fairbairn, Fred Haigh (Lake Monduran), Kinchant, Koombooloomba, Lenthalls, Peter Faust, Teemburra, Tinaroo and Wuruma dams)",N/A,,"silver, olive grey or grey blue back
brown to golden eyes with bright red reflective glow
no markings on fins
juveniles are brown to greyish brown with three stripes on the head and scattered white patches on the sides ",80,180,"Rockhampton and further north
coastal marine
estuarine and freshwater habitats
adults mainly in estuaries (mangroves and river mouths)
juveniles extend up rivers into fresh water
often stocked in impoundments",N/A,http://app.fisheries.qld.gov.au/images/barramundi.jpg,N/A,N/A,N/A,N/A,N/A
Blackmast,N/A,Blackmast,Strawman,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/blackmast.jpg,N/A,N/A,N/A,N/A,N/A
Blue eye,N/A,Delicate blue eye,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blue eye,N/A,Pacific blue eye,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/pacific-blue-eye.jpg,N/A,N/A,N/A,N/A,N/A
Blue eye,N/A,Spotted blue eye,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/spotted-blue-eye.jpg,N/A,N/A,N/A,N/A,N/A
Bony bream,N/A,Bony bream,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/bony-bream.jpg,N/A,N/A,N/A,N/A,N/A
